掉线🌈,6,【B-】一个高级玩家误入新手村后狂虐菜鸡的故事。视觉效果，动作设计都非常赞，作为爆米花合格了。但剧本和导演都不行，原作漫画铳梦前几卷的出彩之处，是其借天上地下，格斗生存的设定，将阶级固化用血肉搏杀的形式具象化了，电影却强扭成寻找力量成长为最强王者的美式个人英雄主义。但阿丽塔就是个挂逼，她根本不需要成长，或者说她的成长应当建立在对自己身为狂战士责任的醒悟，和对人类社会制会度的逐步看清之上，一旦失去这些，它就变成了一个极其普通无趣的俗套故事-——正像罗德里格兹现在所完成的那样。某人的死在漫画里本是个极震撼的情节点，底层对上层的美好幻想被冰冷的权力毁灭，却被拍成琼瑶戏。阿丽塔不烂，但它本可以更好，比现在好很多的那种好。,2108
王大根,6,在医生父亲的精心呵护中长大的残疾少女，当然会爱上第一个骑摩托车从家门口路过的不良少年，想和他攒够钱一起去大城市，为此每天都在与父亲的争吵中度过。男孩帮助她发掘出了在橄榄球方面的才能，两人约定从这里开启他们的纽约梦。没想到，决赛那天，男孩被混混盯上，少女只得冲出赛场去拯救恋人。最终，男孩死在了追梦路上，女孩肩负着两人的梦想，再次站到了绿茵场上……《阿丽塔：26世纪の残酷青春物语》，看完真的替《攻壳机动队》委屈，斯嘉丽约翰逊总比这位骄纵叛逆的青春期少女讨喜吧，这位在某几段情节里简直称得上是美国韩朵朵了……,933
Doublebitch,8,很显然，卡神用时20年、耗资2亿美金、组建上千人团队、动用3万多台电脑，就只是为了向全世界安利自己热爱的漫画而已。,8575
凌睿,8,一部很有教育意义的电影，它告诉我们：我们的确是父母从垃圾桶捡来的，不是充话费送的。 继约翰·威克后又一个“地表最强爱狗人士”，你敢杀她的狗，她就敢一刀把你劈成两半。太能打了，让你两条腿都能戳爆你的眼睛。 叶问可以打十个鬼子，阿丽塔可以打十个叶问。 “26世纪福斯”的片头很有趣，不知道福斯能不能活到26世纪。 电影探讨的主题仍然是人工智能自我意识觉醒，从开始不知道自己是谁，到拥有七情六欲，能睡觉、能流泪，再到发现自己并不低人一等，反而比人更好。不以物喜，不以己悲，勇敢接受自己，坦然面对生活。 同时也是一个破茧成蝶、凤凰涅槃的故事，历经千锤百炼，遭受切肤之痛，苦其心志，劳其筋骨，方能百炼成钢、浴火重生。 承受他人不能承受之痛苦，才能成为强者。 最后想问一下阿丽塔：2563年的时候《阿凡达2》上映了吗？,2637
桃桃林林,6,6-7分吧。视觉效果的部分实在是太棒了，即便阿丽塔那动漫感十足的大眼睛反复提醒你这是个特效角色，但是，恍惚间还是会误以为她就是真实的。技术上面的成就也是本片最大，可能也是唯一看点了。整部影片除了几场动作戏比较吸引人，大部分的剧情都挺无趣的，尤其那个老套的爱情故事（原漫画雨果那几章其实也挺没意思的）。情节上还是没有提供一个更惊喜、或者说更吸引人的故事，况且，这还只是个序章，甚至结尾的高潮都没有，感觉下一部才要正式进入主题，有点不过瘾呀。当然，为了结尾终于摘下眼镜那个男人，应该还是会期待下一部的，毕竟太久没见了啊！,458
V.,6,确实要比同期的牵引城市要强一些，挺暴力但是又不血腥的一个电影。 如果从视觉效果和大场面来看，这的确是一部不错的电影。 如果从讲故事方面来看，这是一部根本就没有及格的电影。 再者拿卡梅隆来铺天盖地的宣传，是不是有点挂羊头卖狗肉了?监制和导演毕竟是有区别的，宣传把这个片子搞得跟真的是阿凡达2一样的。,430
小牛,10,2.3新加坡点映～9分！ 一，这是一部由电影界的geek狂人卡梅隆以资深铳梦粉的身份送给全球原著粉，二次元宅和视效党的礼物，影片最大的看点～一是高度还原了铳梦宏大的世界格局，二是真·视效革命～特别是高速移动转换状态下呈现出的3D逼真感和稳定性～如今能将3D爽感以数倍的差距干翻2D画面的作品极少，记得一定要去硬件最好的imax厅看3D，感觉每一帧都在烧钱，画面精致震撼到无话可说！ 二，作为一部漫改，我认为罗德里格兹发挥稳定，得益于原著中阿丽塔本身是一位身怀火星古武绝技，又失去记忆沉睡几百年的懵懂少女的人物设定，这部起源电影只需专注于还原漫画+热血格斗即可，是迄今为止最优秀的赛博日漫改作品。还有我真搞不明白如今db是怎么了，充斥着各种阴阳怪气，节奏带的飞起的评论，强行扮演剧评大师的吃相丑陋不堪,5596
すでに恒司ロス,6,少女情怀总是痴，痴完耍中二，晚归不听为父言，又是发动起义，又是吵着换身，最燃是第一场机动球比赛，有点魁地奇的影子（对，就是一群小混混打着玩的这场，不是后面美人救蠢熊那场，还电话求助，cctv2王小丫看多了吧），越往后越崩，什么脑回路能从“我不允许这世上存在一丝恶”跳到“我可以把整颗心都给你”，虽然动作设计还算酷炫，但那些人头金属身的造型简直是lowlowlow到家，看上去既笨重又被动，一句话，毫无科幻内核，跟押井守学学吧==,192
晚冬城市,6,"这是一部让卡神魂牵梦绕十余年的电影？又是青少年YA自high片。Elysium般废土世界本已无新意，剧情发展更是幼稚平庸老土，叛逆少女不爱听爸爸的话，少男少女忽然就很爱很爱，冷血女医生忽然就良心发现，女主忽然去酒吧慷慨（尴尬）陈词，男主忽然就赶去领便当。既然终极大boss掌控世间一切，要杀一个弱医生一个生化人，还不是一个炸弹两颗子弹轻松搞定的事，也没见他们有意欲去搬一下住处，打甚么打？要杀大boss, 方法是乖乖去玩大boss搞的游戏，赢了后坐等大boss乖乖送自己上天空之城去报复他？这又是甚么神逻辑。电影除了动作场面尚算流畅，部份CG角色较有辨识度之外，丝毫无亮点，赛博庞克世界很淺陋，连热血、人性都谈不上，主旨是甚么更是十分迷离。连爽片也很勉强。看电影途中多次发呆看表。",188
pplz,8,从特效上说，是好莱坞电影工业的顶级水准……仅凭地下室和球赛两场打戏，便值回IMAX票价。电影剧情非常简单，幸好叙事紧凑连贯不拖沓，情感也还算饱满（卡梅隆爸爸的橘子确实香），7.5到8分吧。2月12日更新：流浪地球电影还没看过，但每天看评论已经足够精彩了。而因为流浪地球评论区的争论，导致了很多人在阿丽塔这里故意刷一星差评，让我感到流浪地球不仅是中国科幻的里程碑，更在无意中，让大家看到国内民族主义，集体主义与民粹主义带来的残酷两面性。正面是集体主义带来的普遍社会认同感，反面是压制理性带来的普遍妄想型人格，丧失了对真理的追求动力与评判能力，并催生出了暴力的网络乃至社会氛围。2月17日更新，流浪地球电影看过了因为价值观只能给3星，为了飘渺的千年大计，宣判35亿人死亡的设定让我无法接受。,2181
